,Unnamed: 0,srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
0,56,175.45.176.0,39500,149.171.126.15,80,tcp,FIN,0.177449,1214,268,254,252,2,1,http,49276.12891,10098.67578,10,6,255,255,366102997,2277661750,121,45,1,0,1020.236764,62.002961,1421927419,1421927419,19.203667,34.071199,0.05198,0.007076,0.044904,0,1,1.0,0.0,0,5,2,1,1,1,1,1,DoS,1
1,77,175.45.176.0,23910,149.171.126.15,80,tcp,FIN,2.59291,2082,268,254,252,6,1,http,5967.041016,691.115356,14,6,255,255,2619540488,2887663221,149,45,1,0,17309.57132,1007.28625,1421927419,1421927422,198.502841,509.158,0.09546,0.047109,0.048351,0,1,1.0,0.0,0,5,2,1,2,2,1,1,DoS,1
2,197,175.45.176.1,12940,149.171.126.16,80,tcp,FIN,0.268272,878,1002,62,252,2,2,http,23588.0,26152.56055,10,8,255,255,1657065760,2730092963,88,125,1,78,1466.979442,53.908418,1421927435,1421927435,29.808,37.050855,0.055114,0.008277,0.046837,0,1,1.0,0.0,0,3,1,1,1,1,1,1,DoS,1
3,1564,175.45.176.0,14324,149.171.126.13,502,tcp,FIN,0.214066,468,268,254,252,2,1,-,15770.83691,8371.25,10,6,255,255,2784361789,2253194490,47,45,0,0,1128.526548,60.616703,1421927456,1421927456,23.785111,41.159,0.052302,0.0076,0.044702,0,1,0.0,0.0,0,1,1,1,1,1,1,1,DoS,1
4,1876,175.45.176.2,6551,149.171.126.12,162,udp,INT,2.1e-05,136,0,254,0,0,0,snmp,25904762.0,0.0,2,0,0,0,0,0,68,0,0,0,0.0,0.0,1421927462,1421927462,0.021,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,1,1,1,1,1,1,1,DoS,1
5,2649,175.45.176.0,13630,149.171.126.12,110,tcp,FIN,0.812535,956,4670,62,252,7,9,pop3,8949.768555,43892.26563,20,22,255,255,555346351,1743848913,48,212,0,0,2021.579825,1905.310555,1421927492,1421927493,42.765,38.313144,0.053821,0.007216,0.046605,0,1,0.0,0.0,0,1,1,1,1,1,1,1,DoS,1
6,2800,175.45.176.3,44421,149.171.126.18,80,tcp,FIN,0.246554,854,2132,62,252,2,2,http,24951.9375,60546.57422,10,8,255,255,2105979587,283825835,85,267,1,644,1458.039106,56.855316,1421927499,1421927499,27.394889,33.78943,0.051057,0.005949,0.045108,0,1,1.0,0.0,0,1,1,1,1,1,1,1,DoS,1
7,2881,175.45.176.2,32188,149.171.126.11,80,tcp,FIN,0.270259,802,1332,62,252,2,2,http,21372.0918,34515.03906,10,8,255,255,142567952,3111766122,80,167,1,265,1467.621721,51.350645,1421927502,1421927502,30.028778,36.672715,0.057171,0.012878,0.044293,0,1,1.0,0.0,0,1,1,1,1,1,1,1,DoS,1
8,3579,175.45.176.0,1069,149.171.126.17,64551,tcp,FIN,0.299504,364,16744,254,252,1,7,ftp-data,8520.753906,422405.0313,8,18,255,255,801556014,331685263,46,930,0,0,2977.353322,1664.516294,1421927533,1421927533,42.786287,16.433352,0.030341,0.019464,0.010877,0,1,0.0,0.0,0,2,2,4,4,1,1,4,DoS,1
9,3580,175.45.176.0,1305,149.171.126.17,21,tcp,FIN,1.38922,1072,1790,254,252,7,10,ftp,5896.833984,9881.803711,22,24,255,255,2160964292,1573733725,49,75,0,0,3517.241414,3698.588101,1421927532,1421927533,66.153335,59.83013,0.050578,0.00618,0.044398,0,1,0.0,1.0,1,1,1,4,4,1,1,4,DoS,1
10,3582,175.45.176.0,13713,149.171.126.17,62999,tcp,FIN,0.474462,364,268,254,252,1,1,ftp-data,5378.723633,3776.909424,8,6,255,255,1429779555,2965817294,46,45,0,0,4180.227894,148.380234,1421927532,1421927533,67.780288,85.380203,0.092402,0.046603,0.045799,0,1,0.0,0.0,0,2,2,4,4,1,1,4,DoS,1
11,3679,175.45.176.1,30074,149.171.126.18,80,tcp,FIN,0.247985,846,1008,254,252,2,2,http,24582.13086,28453.33398,10,8,255,255,971387154,641439703,85,126,1,90,1514.682889,60.188102,1421927538,1421927538,27.553889,32.545285,0.049636,0.005749,0.043887,0,1,1.0,0.0,0,1,1,1,1,1,1,1,DoS,1
12,3997,175.45.176.0,31200,149.171.126.12,5002,tcp,FIN,0.175743,1596,268,254,252,2,1,-,65413.69922,10196.70801,10,6,255,255,4173898312,1401819082,160,45,0,0,973.526992,58.991426,1421927552,1421927552,18.177889,33.944602,0.049333,0.006016,0.043317,0,1,0.0,0.0,0,2,1,1,2,1,1,1,DoS,1
13,4165,175.45.176.2,34347,149.171.126.10,80,tcp,FIN,1.405337,2200,282243,62,252,2,108,http,12210.59473,1599394.375,40,220,255,255,2826832084,2808378691,55,1283,1,136455,1838.484869,776.350602,1421927557,1421927559,36.034282,6.286457,0.052124,0.006285,0.045839,0,1,1.0,0.0,0,1,1,1,1,1,1,1,DoS,1
14,4308,175.45.176.1,7558,149.171.126.15,80,tcp,FIN,2.395836,1428,1426,254,252,4,2,http,4370.916504,4167.22998,12,8,255,255,2030017014,1670423488,119,178,0,0,21001.53169,823.289437,1421927563,1421927566,217.72727,341.424562,0.052773,0.005857,0.046916,0,1,0.0,0.0,0,2,2,1,1,1,1,1,DoS,1
15,4346,175.45.176.0,34953,149.171.126.11,25,tcp,FIN,0.94448,74556,2244,62,252,33,8,smtp,622742.6875,18329.66211,72,28,255,255,874181926,3265791690,1036,80,0,0,1090.699953,43.744148,1421927567,1421927567,13.302535,34.570258,0.051748,0.006795,0.044953,0,1,0.0,0.0,0,1,1,1,1,1,1,1,DoS,1
16,4819,175.45.176.1,46673,149.171.126.13,80,tcp,FIN,0.475653,826,2188,62,252,2,2,http,12513.32422,33133.39844,10,10,255,255,297053769,255967441,83,219,1,622,3458.84594,96.653875,1421927587,1421927587,52.850333,47.516555,0.091769,0.047272,0.044497,0,1,1.0,0.0,0,2,1,1,2,1,1,1,DoS,1
17,5138,175.45.176.1,50681,149.171.126.11,80,tcp,FIN,0.212959,906,3196,62,252,2,2,http,30653.78711,105071.8672,10,8,255,255,4040754380,2283253624,91,400,1,1182,1134.125877,30.854123,1421927602,1421927602,23.546556,22.491143,0.065402,0.055514,0.009888,0,1,1.0,0.0,0,3,1,1,2,1,1,1,DoS,1
18,5181,175.45.176.1,7503,149.171.126.10,8080,tcp,FIN,0.200812,1882,268,254,252,2,1,http,67486.00781,8923.769531,10,6,255,255,3832245851,3972766524,188,45,1,0,1193.433144,43.545988,1421927604,1421927604,22.312444,32.1206,0.092089,0.039525,0.052564,0,1,1.0,0.0,0,3,1,2,1,1,1,1,DoS,1
19,5476,175.45.176.3,35948,149.171.126.16,80,tcp,FIN,0.487234,800,1156,62,252,2,2,http,11821.83496,17092.4043,10,10,255,255,3531325907,1512848429,80,116,1,110,3540.405646,89.817234,1421927617,1421927618,54.031444,48.610891,0.099787,0.049729,0.050058,0,1,1.0,0.0,0,1,1,1,1,1,1,1,DoS,1
20,5843,175.45.176.0,41253,149.171.126.14,80,tcp,FIN,0.214759,770,968,62,252,2,2,http,25814.98242,31551.64453,10,8,255,255,3993945267,501887146,77,121,1,75,1198.791769,45.979508,1421927634,1421927635,23.862111,26.839,0.073488,0.025882,0.047606,0,1,1.0,0.0,0,1,1,1,1,1,1,1,DoS,1
